20180519T175946,0
20180519T180026,0
20180519T180056,1
20180519T180126,1
20180519T180156,1
20180519T180226,1
20180519T180257,0
20180519T180337,0
20180519T180407,0
20180519T180437,1
20180519T180507,1
20180519T180537,1
20180519T180607,1
20180519T180637,1
20180519T180717,0
20180519T180747,1
20180519T180817,0
20180519T180847,0
20180519T180917,0
20180519T180947,1
20180519T181017,1
20180519T181047,1
20180519T181118,1
20180519T181148,1
20180519T181218,1
20180519T181248,1
20180519T181328,0
20180519T181358,0
20180519T181428,1
20180519T181458,1
20180519T181528,1
20180519T181558,1
20180519T181638,0
20180519T181718,0
20180519T181748,1
20180519T181818,0
20180519T181848,0
20180519T181918,0
20180519T181948,0
20180519T182018,1
20180519T182049,1
20180519T182119,1
20180519T182149,1
20180519T182229,0
20180519T182259,1
20180519T182329,0
20180519T182359,0
20180519T182429,0
20180519T182459,0
20180519T182539,0
20180519T182619,0
20180519T182659,0
20180519T182739,0
20180519T182819,0
20180519T182859,0
20180519T182939,0
20180519T183009,0
20180519T183049,0
20180519T183119,1
20180519T183150,1
20180519T183220,1
20180519T183250,1
20180519T183320,1
20180519T183350,1
20180519T183430,0
20180519T183500,0
20180519T183530,1
20180519T183600,1
20180519T183630,1
20180519T183700,1
20180519T183730,1
20180519T183800,1
20180519T183830,1
20180519T183901,0
20180519T183931,0
20180519T184001,0
20180519T184041,0
20180519T184121,0
20180519T184201,0
20180519T184241,0
20180519T184321,0
20180519T184401,0
20180519T184441,0
20180519T184511,0
20180519T184541,1
20180519T184611,1
20180519T184641,1
20180519T184711,1
20180519T184751,0
20180519T184821,1
20180519T184851,1
20180519T184921,0
20180519T184951,0
20180519T185021,1
20180519T185051,1
20180519T185122,1
20180519T185202,0
20180519T185232,1
20180519T185302,1
20180519T185342,0
20180519T185422,0
20180519T185452,0
20180519T185522,0
20180519T185602,0
20180519T185632,1
20180519T185712,0
20180519T185742,1
20180519T185812,1
20180519T185842,1
20180519T185912,0
20180519T185942,0
20180519T190012,0
20180519T190053,0
20180519T190133,0
20180519T190213,0
20180519T190253,0
20180519T190333,0
20180519T190413,0
20180519T190453,0
20180519T190523,1
20180519T190553,1
20180519T190633,0
20180519T190703,1
20180519T190733,1
20180519T190803,1
20180519T190833,1
20180519T190903,0
20180519T190933,0
20180519T191003,0
20180519T191033,1
20180519T191103,1
20180519T191133,1
20180519T191204,1
20180519T191346,0
20180519T191416,0
20180519T191446,0
20180519T191516,1
20180519T191546,1
